id,fund_id,type,quota_name,wallet_external_id
28,18,Sub,PAGALEVE FIDC,50059866
29,39,Sub,FIDC TEMPUS III SUB,49691846
30,29,Sub,FIDC FACIO Sub,51119641
33,42,Mezanino,FIDC Amplic MEZ,32933120
34,42,Sub,FIDC Amplic SUB,32933119
38,37,Sub,FIDC RECOVERY NP,50768516
39,37,Senior,FIDC RECOVERY SR,50768517
53,42,Senior,Amplic FIDC SEN1,32933122
75,63,Senior,Cota Senior FIDC Creditas Auto X,53095242
76,63,Mezanino,Cota Mezanino A FIDC Creditas Auto X,53095243
77,63,Mezanino,Cota Mezanino B FIDC Creditas Auto X,53095244
78,63,Sub,Cota Subordinada Júnior FIDC Creditas Auto X,53095241
85,29,Senior,COTA SÊNIOR DA 1ª SÉRIE FACIO FIDC,51119643
86,29,Senior,COTA SÊNIOR DA 2ª SÉRIE FACIO FIDC,51119644
88,29,Mezanino,COTA MEZANINO FACIO FIDC,51119642
99,80,Sub,Primepag Sub,26913825
103,76,Sub,Pletora FIDC SUB,42273967
104,76,Mezanino,Pletora FIDC MEZ,42273968
105,76,Senior,Pletora FIDC SR,42273969
106,77,Sub,CPV FIDC SUB,30177946
107,77,Mezanino,CPV FIDC MEZ,30177947
108,77,Senior,CPV FIDC SR,30177948
111,79,Sub,FACTIA FIDC,50791925
113,80,Mezanino,Primepag MEZ,26913826
114,80,Senior,Primepag SR,26913827
126,85,Sub,Akirede FIDC,52200745
127,86,Sub,Tesla FIDC,51732995
128,86,Mezanino,Tesla FIDC MEZ,51732996
129,87,Sub,Quasar CB Sub,43023990
130,87,Senior,Quasar CB SR,43023992
131,87,Senior,Quasar CB SR 2,43023993
132,88,Sub,Alps Bank FIDC,51410150
133,88,Mezanino,Alps Bank FIDC MEZ,51410151
137,90,Sub,AID BANK FIDC,51253601
138,91,Sub,Bolsa Cred FIDC,50692376
139,70,Senior,Cota Sênior FIDC Trademaster,54585644
140,70,Sub,Cota Subordinada Júnior FIDC Trademaster,54585643
146,94,Classe única,Classe Unica,44479362
147,18,Senior,PAGALEVE FIDC SENIOR,50059867
148,95,Classe única,Cota Única CredAluga,54747911
155,71,Senior,Cota Sênior FIDC Merx,54857415
156,71,Mezanino,Cota Mezanino FIDC Merx,54857416
157,71,Sub,Cota Subordinada Júnior FIDC Merx,54857414
158,150,Mezanino,911 Bank Mez,50790526
159,150,Senior,911 Bank Sr,50790525
160,150,Sub,911 Bank,50790524
161,116,Classe única,Albatroz FIDC,25354081
162,88,Senior,Alps Bank Sr,51410152
163,147,Classe única,Aracua FICFIM,50378792
164,146,Classe única,Ativa FIDC,50118274
165,63,Mezanino,AUTO X FIDCMZ A2,53095246
166,63,Mezanino,AUTO X FIDCMZ B2,53095247
167,63,Senior,AUTO X FIDCSR2,53095245
168,111,Classe única,Cedro FII,20118507
170,109,Senior,CLM FIDC SR,18676988
171,109,Senior,CLM FIDC SR 3,18676989
176,77,Mezanino,CPV FIDC MEZ ORD,30177949
177,158,Sub,DORO FIDC,51731270
178,158,Senior,DORO FIDC SR,51731271
179,143,Sub,EOS FIDC WH,48169685
180,134,Classe única,FATURE FIDC,43122353
182,154,Mezanino,Gooroo Fidc Mz1,51295723
183,154,Mezanino,Gooroo Fidc Mz3,51295724
184,154,Mezanino,Gooroo Fidc Mz4,51295725
185,119,Sub,HB FIDC NP,27326000
186,153,Mezanino,Health FIDC Mez,51294886
187,153,Senior,Health FIDC Sr,51294887
188,153,Sub,Health FIDC,51294885
189,128,Classe única,J17 Orion FIM CP,38057973
190,113,Classe única,Jade FIM,22328326
191,140,Sub,MAKENA FIDC,45938235
