id,name,slug,is_active,government_id
18,PAGALEVE FIDC,fidc-pagaleve,true,50059866000146
29,FACIO FIDC,fidc-facio,true,51119641000109
37,Recovery Lex FIDC,recovery-lex-fidc,true,50768516000159
39,FIDC NP CREDITAS TEMPUS III,tempus-iii,true,49691846000104
42,AMPLIC FIDC,fidc-amplic,true,32933119000103
48,FIDC ALOHA I,fidc-aloha-i,true,43104412000184
63,FIDC CREDITAS AUTO X,fidc-creditas-auto-x,true,53095241000128
70,TRADEMASTER III FIDC,fidc-trademaster,true,54585643000173
71,INDIE MERX RAIZ I CREDITO FIDC DO AGRONEGOCIO,fidc-merx,true,54857414000160
72,AUTO GWM FIDC RESPONSABILIDADE LIMITADA,fidc-gwm,true,56112240000132
73,PJBANK PAGAMENTOS FIDC,fidc-superlogica,true,56190298000102
75,COHAB MINAS FIDC IMOBILIARIOS DE RESP LTDA,fidc-cohab,true,53765941000182
76,PLETORA FIDC,fidc-pletora,true,42273967000197
77,CPV PS DUPLICATA FIDC NP,fidc-cpv,true,30177946000199
78,COINVEST FIDC,fidc-coinvest,true,39851553000193
79,FACTIA FIDC,fidc-factia,true,50791925000176
80,PRIMEPAG FIDC DE CARTÃO DE CRÉDITO,primepag-fidc,true,26913825000190
85,AKIREDE FIDC,akirede-fidc,true,52200745000106
86,TESLA FIDC MULTISSETORIAL,tesla-fidc,true,51732995000116
87,FIDC CHILLI BEANS,quasar-cb-fidc,true,43023990000196
88,ALPS BANK FIDC MULTISSETORIAL,alps-bank-fidc,true,51410150000104
90,AID BANK FIDC MULTISSETORIAL,aid-bank-fidc,true,51253601000147
91,BOLSA DE CREDITO FIDC NP,bolsa-de-credito-fidc-np,true,50692376000182
94,FIDC Guajuvira,fidc-guajuvira,true,44479362000182
95,FIF Credaluga,fif-credaluga,true,54747911000106
100,FIDC Voltz,fidc-voltz,true,67660753000102
101,PRIMATO FIDC RESPONSABILIDADE LTDA,fidc-primato,true,55074368000196
102,FIDC Citrino,fidc-citrino,true,52649689000183
103,FIDC Brasil Cash,fidc-brasil-cash,true,54061938000140
104,JUSINVEST I FIDC NP,fidc-jusinvest,true,38328747000146
105,NSTECH FIDC LTDA,fidc-nstech,true,56110113000102
106,UNAVAN FIDC SUB,unavan-fidc-sub,true,13327334000116
107,CREDIT HIGH,credit-high,true,17030581000107
108,Metropolitana SB,metropolitana-sb,true,18114024000137
109,CLM FIDC,clm-fidc-sub,true,18676987000124
110,FICFIDC CRED MEZ,ficfidc-cred-mez,true,19213299000190
111,Cedro FII,cedro-fii,true,20118507000151
112,Vydeira FIM,vydeira-fim,true,22306943000180
113,Jade FIM,jade-fim,true,22328326000185
114,Urbano FIDC,urbano-fidc,true,23773276000108
115,Silver Lake FIM,silver-lake-fim,true,25333823000160
116,Albatroz FIDC,albatroz-fidc,true,25354081000159
117,Silver Stone SB,silver-stone-sb,true,26000055000195
118,Empírica Imo Sub,empírica-imo-sub,true,26812976000152
119,HB FIDC NP,hb-fidc-np,true,27326160000181
120,Acelera FIDC,acelera-fidc,true,27974798000129
121,Sete Rocas SUB,sete-rocas-sub,true,28912060000108
122,TARGET FIC FIM C,target-fic-fim-c,true,29493979000169
123,MULTIBANK FIDC,multibank-fidc,true,29494000000177
124,Aroeira FIDC,aroeira-fidc,true,34082096000104
125,ARACAR FIDC,aracar-fidc,true,36731512000175
126,BK I FIDC NP,bk-i-fidc-np,true,37122800000195
127,PREC BR FIDC,prec-br-fidc,true,37780694000137
128,J17 Orion FIM CP,j17-orion-fim-cp,true,38057973000130
129,Coinvest FICFIDC,coinvest-ficfidc,true,39851520000143
130,QI FIDC,qi-fidc,true,39884271000192
131,GAMG FIM CP,gamg-fim-cp,true,42379212000171
132,Reconlog FIDC,reconlog-fidc,true,42449623000196
134,FATURE FIDC,fature-fidc,true,43122353000177
136,LIFTCRED JR,liftcred-jr,true,45045955000101
138,SOMACRED FIDC,somacred-fidc,true,45894994000175
139,QFLASH KG,qflash-kg,true,45930541000157
140,MAKENA FIDC,makena-fidc,true,45938235000167
141,PUSH FIDC COMEX,push-fidc-comex,true,47191852000177
143,EOS FIDC,eos-fidc,true,48169685000120
144,CONTBANK FIDC,contbank-fidc,true,49275773000170
145,WCAPITAL FIDC,wcapital-fidc,true,49460350000120
146,Ativa FIDC,ativa-fidc,true,50118274000158
147,Aracua FICFIM,aracua-ficfim,true,50378792000100
148,Zermatt FICFIM,zermatt-ficfim,true,50379367000136
149,Fature FIC FIM,fature-fic-fim,true,50623964000164
150,911 Bank,911-bank,true,50790524000100
151,NOBEL 2 FIDC,nobel-2-fidc,true,50823781000192
152,NETMONEY FIDC,netmoney-fidc,true,50824501000160
153,Health FIDC,health-fidc,true,51294885000110
154,Gooroo Fidc,gooroo-fidc,true,51295720000162
155,Botucatu FIDC,botucatu-fidc,true,51409872000149
156,FATURE II FIDC,fature-ii-fidc,true,51410013000170
158,DORO FIDC,doro-fidc,true,51731270000103
159,Norde FIDC,norde-fidc,true,52200741000110
160,CONDOLIVRE FIDC,fidc-condolivre,true,42317295000174
162,GREEN SOLFÁCIL VI FIDC LTDA,fidc-solfacil-vi,true,57028406000108
163,AGROCANA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,fidc-zilor,true,57053395000108
164,Debenture Warehouse BV,debenture-warehouse-bv,true,51732993700987
165,SOLFARMA FIDC COMERCIAIS RESPONSABILIDADE LTDA,fidc-solfarma,true,57378463000109
166,FIDC CUB,fidc-cub,true,57258316000103
167,CORUJA I FIDC,fidc-coruja,true,57140603000106
168,MOBILITAS FIDC RESPONSABILIDADE LIMITADA,fidc-linhares,true,57270666000187
183,ALT LEGAL CLAIMS FIDC,fidc-justix,true,59111770000154
184,BANCOR LIMINE FIDC,fidc-bancor-ii,true,51555510000166
185,FIDC AUTO XI,fidc-auto-xi,true,58035124000192
188,ORIZ JUS III FIDC - RESPONSABILIDADE LIMITADA,fidc-oriz,true,58036896000149
189,SDA FIDC RESPONSABILIDADE LIMITADA,fidc-squalo,true,58312065000152
190,TURQUESA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,fidc-turquesa,true,27635377000173
191,JASPE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,fidc-jaspe,true,41970246000173
194,PICPAY FGTS FIDC,fidc-picpay,true,58148845000109
195,FIDC Settore,fidc-settore,true,20256882000168
196,FIDC Prime,fidc-prime,true,20905862000170
197,FIDC Labrador,fidc-labrador,true,21917325000103
198,FIDC Agross,fidc-agross,true,33953549000150
199,FIDC Guajuvira Ltda,fidc-guajuvira-ltda,true,44479362000182
201,FIDC BTF,fidc-btf,true,51296133000198
203,J17 FGTS FIDC RESPONSABILIDADE LIMITADA,fidc-j17,true,54252144000164
205,FIDC Capia,fidc-capia,true,56661864000109
206,FIDC Alvorada IV,fidc-alvorada-iv,true,31569997000129
207,FIDC Igapora,fidc-igapora,true,51861413000100
208,FIDC SALVADOR,fidc-salvador,true,49087632000123
209,FIDC AV Banco,fidc-av-banco,true,51313788000127
210,FIDC NEBO II,fidc-nebo-ii,true,51861105000176
211,FIDC Múltiplo BNK,fidc-multiplo-bnk,true,53304415000115
212,FIDC RET Capital,fidc-ret-capital,true,53604320000117
213,FIDC LEXEDGE,fidc-lexedge,true,54153821000197
216,FIDC TANGIPAR,fidc-tangipar,true,56075525000140
218,FIDC Oklahoma ( CNPJ A REMOVER),fidc-oklahoma,true,00.742.680/0000-00
220,FIP TIG Multiestratégia,fip-tig-multiestrategia,true,54992811000145
221,FIP Macaúbas,fip-macaubas,true,56960033000138
223,FIDC TIG Renda Fixa,fidc-tig-renda-fixa,true,54994364000163
224,HCAM FIDC,fidc-hcam,true,58307031000170
225,BLIPS FIDC RESPONSABILIDADE LIMITADA,fidc-blips,true,58482694000120
227,FIDC Inova Credtech III,fidc-inova-credtech-iii,true,52340225000190
231,AMOVERI FIDC RESPONSABILIDADE LIMITADA,fidc-amoveri,true,48213067000130
233,ONIX FIDC,onix-fidc,true,27635225000170
234,FAISCA FIDCS RESPONSABILIDADE LIMITADA,fidc-faisca,true,34736565000153
235,FIDC QUARTZO,fidc-quartzo,true,37650688000165
236,FIDC YUNUS,fidc-yunus,true,29330482000120
238,GOLDEN TREE FIDC,fidc-golden-tree,true,29249995000100
239,FIDC TRUST,fidc-trust,true,20906292000133
240,FIDC Berilo,fidc-berilo,true,41970148000136
241,FIDC DC1,fidc-dc1,true,58242641000132
242,FIDC TCG Iron I,fidc-tgc-iron-i,true,58304663000180
243,FIDC Sirius,fidc-sirius,true,58321970000179
244,GAMA,fi-infra-gama,true,58569284000111
246,PBG SUPPLIERS FIDC,fidc-portobello,true,58922423000149
248,CL&AM FIDC,clam-fidc,true,56069419000154
253,FIDC A2J,fidc-a2j,true,58599510000107
254,FIDC RAMAN II,fidc-raman-ii,true,58600515000102
255,FIDC SWA,fidc-swa,true,58600816000136
256,FIDC KGA,fidc-kga,true,58601042000168
257,FIDC JRL,fidc-jrl,true,58601258000123
258,JADE FIDC NP,jade-fidc-np,true,41705933000161
261,ALBAUGH,fidc-albaugh,true,47280025000150
265,RUBI FIDC MULTISETORIAL RESPONSABILIDADE LIMITADA,fidc-rubi,true,19187286000194
269,ALTINVEST MASTER,fidc-altinvest-master,true,58888944000127
270,SIMPLIC FIDC,fidc-simplic-fidc-np,true,26690373000125
279,GRANA TECH CRÉDITO POPULAR,fidc-grana-tech-credito-popular-fidc,true,51254064000150
280,FORCE CAPITAL FIDC,fidc-force-capital-fidc,true,33304615000160
285,Bem Facil II,fidc-bem-facil-ii,true,60614968000130
299,TOP 2025 FIDC,fidc-top-2025,true,61052199000196
303,SEJA FIDC NOVO,fidc-seja,true,91887370000148
309,FIAGRO CONSENTINI,fiagro-consentini,true,61080311000100
312,FIDC NX BOATS,fidc-nx-boats,true,61430639000100
